"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","21.039927","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","12.655822","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","22.432068","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","23.130030","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","15.514209","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","7.724303","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","59.799644","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","64.534920","0","46"
"/Game/FAB/FreeFurniturePack/Materials/M_Art_2.M_Art_2","49","8","8","1","5.398683","0","8"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_MasterSurface.M_MasterSurface","49","16","16","2","15.846090","0","16"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","6.288390","0","7"
"/Game/FAB/Weapons_Free/Materials/M_Material.M_Material","49","8","8","1","3.888894","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_1.M_Wood_1","49","8","8","1","3.898202","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Porcelain_1.M_Porcelain_1","49","8","8","1","7.723156","0","8"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","41.573414","0","67"
"/Game/FAB/FreeFurniturePack/Materials/M_Classic_chair.M_Classic_chair","49","8","8","1","6.381198","0","8"
"/Game/FAB/FreeFurniturePack/Materials/M_Classic_Leather_armchair.M_Classic_Leather_armchair","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Color_1.M_Color_1","49","8","8","1","3.960831","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Fabric_1.M_Fabric_1","49","8","8","1","0.000000","0","8"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Master_Masked.M_Master_Masked","49","8","8","1","8.739427","0","8"
"/Game/FAB/StylizedKitchen/Materials/MM_Grass.MM_Grass","49","42","46","2","24.353928","0","46"
"/Game/FAB/Modern_House_V1/Materials/M_Fabric_3.M_Fabric_3","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_1.M_Metal_1","49","16","16","2","0.000000","0","16"
"/Game/FAB/Modern_House_V1/Materials/M_Plaster_1.M_Plaster_1","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_4.M_Wood_4","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Plastic_1.M_Plastic_1","49","8","8","1","6.222812","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_3.M_Texture_3","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Porcelain_2.M_Porcelain_2","49","8","8","1","0.000000","0","8"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","481.553314","0","212"
"/Game/FirstPersonArms/Character/Materials/M_Mannequin.M_Mannequin","49","26","30","2","18.433788","0","30"
"/InterchangeAssets/gltf/M_Default.M_Default","49","190","212","8","392.873535","0","212"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","79","79","3","318.023926","0","79"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","304.100037","0","166"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_5.M_Metal_5","49","8","8","1","3.917268","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Metal_2.M_Metal_2","49","16","16","2","8.272923","0","16"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_6.M_Wood_6","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_3.M_Wood_3","49","8","8","1","0.000000","0","8"
"/Game/FAB/StylizedKitchen/Materials/MM_Glass.MM_Glass","49","19","19","1","11.139899","0","19"
"/Game/FAB/StylizedKitchen/Materials/MM_Basic.MM_Basic","49","222","246","3","251.299728","0","246"
"/Game/FAB/StylizedKitchen/Materials/MM_Base01.MM_Base01","49","19","20","2","12.187288","0","20"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_2.M_Texture_2","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_2.M_Wood_2","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_1.M_Texture_1","49","8","8","1","0.000000","0","8"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_7.M_Wood_7","49","8","8","1","0.000000","0","8"
"/Game/FAB/FreeFurniturePack/Materials/MM_Modern_Sofa.MM_Modern_Sofa","49","8","8","1","4.037296","0","8"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","49","26","26","2","86.286179","0","26"
"/Game/FAB/FreeFurniturePack/Materials/M_Classic_Picture.M_Classic_Picture","49","8","8","1","8.176435","0","8"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","364.292572","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","351.637054","0","166"
